date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration
2024-03-04,22.5,10.5,16.2,0.3,0.3,0.0,32.3,49.0,33630.99
2024-03-05,10.1,3.2,4.6,14.3,14.3,0.0,34.7,50.8,29576.81
2024-03-06,5.9,3.2,4.5,0.0,0.0,0.0,26.7,43.2,29547.6
2024-03-07,6.8,1.5,4.5,0.0,0.0,0.0,23.0,35.3,23261.83
2024-03-08,6.9,4.1,5.5,23.7,23.7,0.0,30.6,45.4,0.0
2024-03-09,7.2,0.6,4.2,0.1,0.1,0.0,26.4,45.0,30508.93
2024-03-10,6.6,-2.2,1.6,0.0,0.0,0.0,25.5,38.5,38822.36
2024-03-11,16.5,-1.1,7.5,0.0,0.0,0.0,33.8,50.4,38632.05
2024-03-12,19.0,7.4,13.2,0.0,0.0,0.0,30.0,43.6,34627.0
2024-03-13,12.6,6.4,9.7,2.9,2.9,0.0,20.1,31.0,37671.7
2024-03-14,18.5,4.3,8.6,24.4,24.4,0.0,36.4,55.4,19119.86
2024-03-15,5.5,2.4,3.9,0.0,0.0,0.0,28.8,42.5,37819.25
2024-03-16,14.3,2.8,7.7,0.0,0.0,0.0,41.8,63.4,37522.2
2024-03-17,4.9,-1.0,1.8,0.1,0.0,0.07,28.9,42.5,21088.32
2024-03-18,2.8,-4.2,-1.0,0.0,0.0,0.0,20.7,34.9,37272.2
2024-03-19,12.6,-2.2,4.3,0.0,0.0,0.0,37.2,56.5,38023.98
2024-03-20,4.2,-2.3,1.7,0.0,0.0,0.0,26.3,39.6,40609.66
2024-03-21,2.7,-4.2,-0.2,0.0,0.0,0.0,20.3,33.8,36047.26
2024-03-22,3.2,-0.1,1.4,13.1,0.1,9.1,28.0,42.8,16686.25
2024-03-23,1.4,-1.1,0.2,0.4,0.0,0.28,24.8,38.2,38396.07
2024-03-24,6.4,-1.1,3.0,0.0,0.0,0.0,31.4,45.4,18987.91
2024-03-25,15.2,4.9,10.6,12.1,12.1,0.0,33.8,51.5,2898.93
2024-03-26,12.9,0.9,9.0,7.1,7.1,0.0,45.1,68.4,28558.69
2024-03-27,6.5,-1.6,1.8,0.0,0.0,0.0,29.5,44.6,38660.73
2024-03-28,10.6,-2.8,3.5,0.0,0.0,0.0,27.3,43.6,35451.07
2024-03-29,6.7,-0.3,3.5,5.2,5.2,0.0,21.3,34.9,39345.77
2024-03-30,16.1,3.3,8.3,6.2,6.2,0.0,25.8,39.6,38856.88
2024-03-31,6.0,2.3,4.3,8.7,8.7,0.0,23.8,35.3,28801.94
2024-04-01,7.8,4.4,6.2,17.4,17.4,0.0,26.2,42.1,25976.14
2024-04-02,15.6,2.5,6.5,5.5,5.5,0.0,43.8,63.4,11684.53
2024-04-03,2.8,1.6,2.2,10.1,5.5,3.22,33.1,48.6,0.0
2024-04-04,4.7,1.2,3.0,2.7,1.7,0.7,35.8,56.2,10844.18
2024-04-05,6.8,1.4,4.0,0.0,0.0,0.0,31.1,49.7,36630.61
2024-04-06,7.1,0.6,3.8,0.0,0.0,0.0,18.7,33.5,42949.04
2024-04-07,11.6,3.1,7.2,11.4,11.4,0.0,29.8,47.9,13143.8
