date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration
2024-03-04,24.5,18.6,20.9,8.3,8.3,0.0,14.6,28.8,13871.38
2024-03-05,27.5,17.9,21.8,6.1,6.1,0.0,16.4,28.1,39292.89
2024-03-06,25.8,15.1,19.2,0.2,0.2,0.0,16.1,27.4,17339.75
2024-03-07,25.9,16.4,20.6,5.0,5.0,0.0,25.1,44.3,25200.0
2024-03-08,27.5,18.9,22.0,13.2,13.2,0.0,14.4,31.0,21340.1
2024-03-09,18.4,10.5,14.3,0.0,0.0,0.0,30.6,52.2,32400.0
2024-03-10,19.1,7.7,13.4,0.0,0.0,0.0,11.0,22.3,39600.0
2024-03-11,22.2,10.9,15.8,0.1,0.1,0.0,23.1,37.8,29434.67
2024-03-12,24.1,12.4,18.1,0.0,0.0,0.0,19.9,32.8,30706.98
2024-03-13,27.9,17.2,22.0,1.0,1.0,0.0,24.6,41.4,33243.26
2024-03-14,27.8,19.9,23.3,1.1,1.1,0.0,30.2,51.5,32089.88
2024-03-15,27.2,19.4,22.5,6.2,6.2,0.0,27.4,45.4,18000.0
2024-03-16,22.6,18.7,20.5,2.4,2.4,0.0,19.1,33.5,2885.32
2024-03-17,25.8,17.9,21.0,7.7,7.7,0.0,18.8,31.3,28800.0
2024-03-18,20.1,12.4,16.3,0.0,0.0,0.0,25.3,43.2,34721.45
2024-03-19,18.0,7.0,12.8,2.0,2.0,0.0,15.1,25.9,36082.02
2024-03-20,20.4,10.1,15.6,0.0,0.0,0.0,15.9,27.7,11775.71
2024-03-21,22.0,15.5,18.0,34.5,34.5,0.0,32.4,54.7,10010.56
2024-03-22,24.3,15.1,19.1,2.0,2.0,0.0,27.9,45.7,36000.0
2024-03-23,24.0,12.1,17.6,0.0,0.0,0.0,18.0,29.5,39917.31
2024-03-24,23.2,15.2,19.2,0.2,0.2,0.0,35.0,59.8,28906.59
2024-03-25,25.8,14.4,20.7,3.6,3.6,0.0,29.2,54.4,35486.36
2024-03-26,19.9,10.5,15.2,0.1,0.1,0.0,20.9,32.4,40391.26
2024-03-27,17.9,9.6,13.7,0.1,0.1,0.0,14.5,27.4,15997.77
2024-03-28,22.7,8.5,15.9,0.0,0.0,0.0,20.6,32.0,39670.95
2024-03-29,23.9,13.7,18.4,0.0,0.0,0.0,26.3,45.0,40501.87
2024-03-30,25.7,15.1,20.4,0.0,0.0,0.0,21.0,36.4,24165.13
2024-03-31,27.4,18.0,22.4,0.6,0.6,0.0,27.6,46.8,32426.44
2024-04-01,28.2,22.0,24.4,0.0,0.0,0.0,28.3,47.2,30161.94
2024-04-02,26.6,16.1,22.3,3.2,3.2,0.0,26.9,42.8,39988.01
2024-04-03,23.7,10.6,17.4,0.0,0.0,0.0,24.7,43.2,41826.7
2024-04-04,27.2,11.1,18.8,0.0,0.0,0.0,10.9,23.8,41987.1
2024-04-05,29.7,13.8,20.8,0.0,0.0,0.0,20.2,33.8,42150.73
2024-04-06,25.5,16.6,21.0,0.0,0.0,0.0,32.7,54.0,26459.89
2024-04-07,26.8,20.2,23.3,4.2,4.2,0.0,16.4,31.7,33568.02
2024-04-08,24.0,21.0,22.3,18.6,18.6,0.0,25.7,42.5,8095.15
2024-04-09,26.8,19.4,23.0,14.7,14.7,0.0,31.6,53.3,27810.39
2024-04-10,23.0,17.1,20.2,30.0,30.0,0.0,34.2,56.9,35012.14
2024-04-11,25.7,14.4,19.2,0.0,0.0,0.0,27.2,43.2,42893.17
2024-04-12,24.5,11.6,18.1,0.0,0.0,0.0,14.3,27.7,42969.28
2024-04-13,26.0,12.9,19.4,0.0,0.0,0.0,23.7,40.0,40224.34
2024-04-14,27.6,17.4,21.9,0.0,0.0,0.0,23.0,39.6,42702.11
2024-04-15,26.5,19.0,22.6,0.5,0.5,0.0,26.1,43.2,11326.88
2024-04-16,28.0,21.2,24.2,0.4,0.4,0.0,26.9,45.4,33726.02
2024-04-17,28.0,22.2,24.5,0.3,0.3,0.0,20.0,35.6,27435.15
2024-04-18,29.7,22.5,25.0,0.1,0.1,0.0,22.9,40.7,34810.2
2024-04-19,28.6,22.5,24.5,4.9,4.9,0.0,15.5,29.2,17871.73
