date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration
2024-03-04,18.5,7.7,11.8,0.0,0.0,0.0,17.7,29.9,38069.77
2024-03-05,18.5,8.1,12.5,0.0,0.0,0.0,13.8,28.1,37396.55
2024-03-06,15.6,8.9,11.9,19.4,19.4,0.0,19.9,30.2,15329.3
2024-03-07,18.4,7.7,12.3,2.6,2.6,0.0,17.4,31.3,35008.53
2024-03-08,18.8,8.1,12.5,0.0,0.0,0.0,15.0,26.3,38931.36
2024-03-09,20.7,8.6,14.2,0.0,0.0,0.0,12.6,22.0,38571.01
2024-03-10,20.2,9.0,14.0,0.0,0.0,0.0,14.7,25.6,37991.54
2024-03-11,18.6,8.9,12.8,0.0,0.0,0.0,18.6,31.3,35477.85
2024-03-12,18.4,9.6,13.2,0.0,0.0,0.0,17.3,29.9,37578.32
2024-03-13,19.5,9.2,13.8,0.0,0.0,0.0,18.1,32.4,38773.88
2024-03-14,20.2,8.2,14.1,0.0,0.0,0.0,18.8,33.1,40092.08
2024-03-15,17.5,8.2,12.5,0.0,0.0,0.0,16.1,27.4,38335.34
2024-03-16,18.9,9.0,13.6,0.0,0.0,0.0,18.1,32.4,38520.18
2024-03-17,20.0,8.7,13.5,0.0,0.0,0.0,13.4,24.1,39473.37
2024-03-18,23.0,8.6,15.1,0.0,0.0,0.0,21.5,35.6,39953.57
2024-03-19,22.2,10.7,15.7,0.0,0.0,0.0,13.0,25.9,40737.35
2024-03-20,22.1,11.8,16.5,0.0,0.0,0.0,13.2,24.8,40866.75
2024-03-21,21.9,10.7,15.1,0.0,0.0,0.0,17.1,29.2,40996.08
2024-03-22,21.8,11.6,14.9,0.0,0.0,0.0,18.3,32.0,34608.34
2024-03-23,17.8,11.3,14.0,6.8,6.8,0.0,28.1,44.6,31396.19
2024-03-24,17.1,6.9,11.8,0.7,0.7,0.0,21.7,36.7,34685.02
2024-03-25,18.2,5.2,11.7,0.0,0.0,0.0,19.4,34.2,38823.89
2024-03-26,19.5,9.2,13.3,0.0,0.0,0.0,21.7,39.6,41638.65
2024-03-27,20.3,8.4,13.6,0.0,0.0,0.0,17.2,29.5,41765.79
2024-03-28,20.1,9.4,13.5,0.0,0.0,0.0,20.9,37.1,32400.0
2024-03-29,16.8,9.4,13.1,0.4,0.4,0.0,20.3,34.6,37641.2
2024-03-30,14.4,10.1,12.1,29.6,29.6,0.0,24.5,41.8,23490.81
2024-03-31,15.5,9.6,11.8,7.5,7.5,0.0,20.9,35.3,25924.55
2024-04-01,18.2,6.8,12.2,0.0,0.0,0.0,20.3,33.5,42390.12
2024-04-02,22.5,9.6,14.8,0.0,0.0,0.0,14.2,25.9,42512.35
2024-04-03,23.0,11.4,15.9,0.0,0.0,0.0,15.3,27.4,42634.6
2024-04-04,16.0,10.6,12.9,1.6,1.6,0.0,23.0,40.0,27989.13
2024-04-05,13.6,6.7,9.7,3.9,3.9,0.0,24.5,45.4,33299.78
2024-04-06,17.5,2.7,9.8,0.0,0.0,0.0,17.8,33.1,42823.42
2024-04-07,18.8,6.7,12.3,0.0,0.0,0.0,15.0,28.4,41782.36
2024-04-08,25.5,6.6,14.7,0.0,0.0,0.0,11.6,25.6,42911.77
2024-04-09,26.5,7.1,16.5,0.0,0.0,0.0,21.6,37.4,42955.87
2024-04-10,28.8,12.3,19.2,0.0,0.0,0.0,16.1,31.0,42999.91
2024-04-11,29.0,13.8,19.5,0.0,0.0,0.0,20.9,37.4,43043.91
2024-04-12,20.9,11.8,15.3,0.0,0.0,0.0,21.1,39.2,34075.14
2024-04-13,18.1,10.8,14.2,6.2,6.2,0.0,29.6,47.5,7268.48
2024-04-14,14.1,7.4,11.2,4.6,4.6,0.0,19.4,33.5,8707.56
2024-04-15,19.4,6.4,12.8,0.0,0.0,0.0,15.7,28.1,41197.68
2024-04-16,25.6,10.4,16.9,0.0,0.0,0.0,19.5,36.0,43431.12
2024-04-17,25.9,10.9,17.3,0.0,0.0,0.0,16.2,29.5,43515.28
2024-04-18,22.8,11.7,16.1,0.0,0.0,0.0,14.5,30.6,32400.0
2024-04-19,21.8,11.6,15.5,0.0,0.0,0.0,17.6,33.1,35958.54
2024-04-20,23.2,10.6,15.6,0.0,0.0,0.0,17.0,31.0,34422.37
