date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration
2024-03-04,26.6,19.4,22.8,0.9,0.9,0.0,17.0,35.6,36856.64
2024-03-05,27.2,21.5,24.2,0.0,0.0,0.0,17.6,32.0,37750.8
2024-03-06,25.9,20.3,22.8,9.9,9.9,0.0,22.8,42.8,20175.62
2024-03-07,25.8,20.3,22.8,11.6,11.6,0.0,19.4,38.2,30188.36
2024-03-08,27.8,21.5,24.7,0.8,0.8,0.0,17.7,34.2,39600.0
2024-03-09,27.5,23.8,25.2,0.6,0.6,0.0,26.7,49.7,38484.13
2024-03-10,30.9,21.5,25.5,0.7,0.7,0.0,25.8,47.2,28800.0
2024-03-11,25.1,17.5,21.5,0.0,0.0,0.0,21.6,41.4,39600.0
2024-03-12,25.5,20.1,22.9,0.0,0.0,0.0,15.0,32.4,39600.0
2024-03-13,27.0,19.4,23.7,0.0,0.0,0.0,16.3,30.2,39600.0
2024-03-14,27.2,20.1,24.1,0.0,0.0,0.0,18.8,34.9,39600.0
2024-03-15,27.8,22.3,24.7,0.0,0.0,0.0,20.6,41.4,39600.0
2024-03-16,28.6,22.5,25.1,2.2,2.2,0.0,25.4,47.9,39600.0
2024-03-17,28.4,22.6,25.3,2.4,2.4,0.0,26.3,49.7,39600.0
2024-03-18,30.6,22.3,26.5,1.1,1.1,0.0,25.0,47.2,39436.68
2024-03-19,25.0,19.4,21.9,0.2,0.2,0.0,27.5,52.6,39626.84
2024-03-20,25.0,15.6,21.3,0.0,0.0,0.0,18.4,35.3,39765.0
2024-03-21,26.4,20.1,23.4,0.8,0.8,0.0,23.9,40.3,36836.3
2024-03-22,24.5,21.8,22.5,49.1,49.1,0.0,32.8,54.4,0.0
2024-03-23,24.2,20.1,22.3,68.9,68.9,0.0,34.7,58.7,12160.43
2024-03-24,25.0,16.0,21.2,1.1,1.1,0.0,23.4,38.9,39977.72
2024-03-25,25.1,22.0,23.3,1.2,1.2,0.0,29.5,51.8,39635.39
2024-03-26,26.4,22.3,24.0,0.5,0.5,0.0,26.2,47.2,39894.74
2024-03-27,26.7,22.8,24.6,1.5,1.5,0.0,22.8,40.3,37308.09
2024-03-28,30.1,19.7,25.3,3.9,3.9,0.0,36.2,65.2,36208.92
2024-03-29,24.8,17.2,21.0,0.3,0.3,0.0,23.9,45.0,40786.7
2024-03-30,24.5,18.5,21.5,0.0,0.0,0.0,20.1,39.6,40556.51
2024-03-31,24.8,19.3,22.0,0.0,0.0,0.0,15.5,32.8,41230.43
2024-04-01,26.6,21.2,23.8,0.0,0.0,0.0,17.8,36.0,40189.99
2024-04-02,27.5,22.0,24.7,0.3,0.3,0.0,20.7,40.7,40733.11
2024-04-03,29.8,23.7,26.5,0.6,0.6,0.0,34.6,63.7,40924.84
2024-04-04,26.4,19.7,23.2,6.3,6.3,0.0,26.5,45.7,35326.68
2024-04-05,26.0,15.9,20.7,0.0,0.0,0.0,17.7,31.7,41877.94
2024-04-06,27.6,14.4,21.1,0.0,0.0,0.0,18.1,32.8,42024.72
2024-04-07,26.4,17.1,22.4,0.0,0.0,0.0,20.0,37.4,39942.06
2024-04-08,25.8,20.2,22.8,0.1,0.1,0.0,26.8,50.0,41221.05
2024-04-09,25.7,22.0,23.7,1.1,1.1,0.0,27.7,50.8,40911.55
2024-04-10,27.2,23.2,24.9,0.6,0.6,0.0,26.5,47.9,41501.88
2024-04-11,28.9,23.8,26.1,1.8,1.8,0.0,35.9,64.1,40712.07
2024-04-12,27.4,19.0,23.4,0.2,0.2,0.0,20.6,41.4,42589.18
2024-04-13,26.2,16.5,21.8,0.0,0.0,0.0,25.2,48.2,42561.05
2024-04-14,25.4,19.1,22.3,0.0,0.0,0.0,21.2,42.8,42809.97
2024-04-15,26.2,19.0,23.0,0.0,0.0,0.0,19.6,40.0,42873.52
2024-04-16,27.4,22.0,24.6,0.0,0.0,0.0,28.5,54.7,42551.87
2024-04-17,26.8,22.2,24.4,0.2,0.2,0.0,24.2,45.7,42900.21
2024-04-18,28.0,21.7,24.9,0.0,0.0,0.0,16.4,34.2,43057.84
2024-04-19,27.8,20.2,24.6,0.0,0.0,0.0,17.3,34.2,43116.92
2024-04-20,28.1,21.1,24.9,0.0,0.0,0.0,18.6,37.4,43073.64
