date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration
2024-03-04,18.6,4.9,10.2,0.1,0.1,0.0,18.6,33.5,19803.41
2024-03-05,8.6,6.2,7.2,9.0,9.0,0.0,24.0,42.1,456.42
2024-03-06,11.1,4.2,8.1,27.7,27.7,0.0,21.4,41.4,0.0
2024-03-07,15.2,7.3,11.8,1.1,1.1,0.0,22.0,42.8,12676.59
2024-03-08,12.8,2.5,7.0,0.0,0.0,0.0,15.4,29.5,35705.34
2024-03-09,10.6,4.1,6.9,30.7,30.7,0.0,23.8,42.8,0.0
2024-03-10,10.0,1.6,6.6,0.6,0.6,0.0,33.7,66.2,37604.83
2024-03-11,10.6,1.4,6.0,0.0,0.0,0.0,36.6,68.0,38428.43
2024-03-12,18.2,4.4,10.8,0.0,0.0,0.0,22.1,42.1,38839.61
2024-03-13,21.2,5.6,13.3,0.0,0.0,0.0,12.6,24.8,38642.79
2024-03-14,23.0,5.6,14.3,0.0,0.0,0.0,14.2,25.9,39193.5
2024-03-15,22.2,9.4,16.3,0.2,0.2,0.0,24.8,47.9,25380.93
2024-03-16,15.6,4.9,10.0,0.0,0.0,0.0,19.8,37.4,39358.37
2024-03-17,16.5,8.4,12.1,0.0,0.0,0.0,27.0,52.2,40106.85
2024-03-18,8.9,2.3,6.0,0.0,0.0,0.0,23.2,44.6,37268.61
2024-03-19,8.6,-0.2,4.2,0.4,0.4,0.0,25.4,49.7,34998.39
2024-03-20,14.4,1.8,6.9,0.3,0.3,0.0,33.1,61.2,27699.47
2024-03-21,6.1,-3.1,1.5,0.0,0.0,0.0,22.7,45.4,40832.88
2024-03-22,9.9,-3.5,2.7,0.0,0.0,0.0,17.5,33.1,32248.12
2024-03-23,10.1,-1.0,5.8,60.1,60.1,0.0,31.8,58.0,1236.66
2024-03-24,9.3,-1.5,3.3,0.0,0.0,0.0,25.6,50.4,41312.68
2024-03-25,11.0,-0.6,4.8,0.0,0.0,0.0,18.4,36.7,41471.77
2024-03-26,12.9,0.5,6.4,0.0,0.0,0.0,15.0,30.2,32254.74
2024-03-27,9.8,3.5,7.1,6.4,6.4,0.0,8.1,20.2,555.17
2024-03-28,11.4,6.3,8.6,13.0,13.0,0.0,18.3,34.9,0.0
2024-03-29,13.0,3.1,8.2,0.0,0.0,0.0,29.5,55.1,42101.22
2024-03-30,15.4,1.8,8.5,11.3,11.3,0.0,19.2,37.4,28891.8
2024-03-31,16.8,5.5,10.5,0.0,0.0,0.0,17.4,34.9,37294.08
2024-04-01,13.6,6.0,9.4,12.0,12.0,0.0,15.4,32.4,14308.76
2024-04-02,9.2,6.8,7.6,24.1,24.1,0.0,23.4,44.6,1449.71
2024-04-03,9.3,5.8,7.5,32.8,32.8,0.0,37.1,69.8,0.0
2024-04-04,12.6,3.5,7.0,4.8,4.8,0.0,27.5,49.3,32084.27
2024-04-05,10.8,3.0,6.4,0.0,0.0,0.0,27.6,51.8,42976.94
2024-04-06,11.9,3.0,7.5,0.1,0.1,0.0,31.1,56.5,34103.67
2024-04-07,16.0,2.3,8.7,0.0,0.0,0.0,23.1,43.2,39509.22
2024-04-08,18.5,1.0,10.0,0.0,0.0,0.0,10.3,21.6,40123.32
2024-04-09,24.0,4.8,15.0,0.0,0.0,0.0,12.0,21.2,43029.53
2024-04-10,22.9,9.4,15.8,0.1,0.1,0.0,12.2,24.8,31336.08
2024-04-11,21.6,11.5,16.4,2.4,2.4,0.0,27.0,53.6,17566.19
2024-04-12,18.0,11.8,15.8,19.9,19.9,0.0,32.1,68.8,25269.43
2024-04-13,14.7,7.6,10.9,1.0,1.0,0.0,36.6,66.2,18094.13
2024-04-14,23.1,5.4,15.2,0.0,0.0,0.0,31.0,56.2,43266.07
2024-04-15,26.4,10.8,18.5,1.3,1.3,0.0,21.1,36.7,43256.79
2024-04-16,21.4,8.2,15.4,0.0,0.0,0.0,18.9,36.4,43669.57
2024-04-17,19.5,8.6,13.7,3.0,3.0,0.0,18.5,33.5,18000.0
2024-04-18,14.6,7.2,11.4,0.0,0.0,0.0,19.0,35.6,21016.88
2024-04-19,16.6,5.3,10.9,0.3,0.3,0.0,15.1,29.9,23113.6
2024-04-20,19.9,9.1,13.9,2.8,2.8,0.0,25.7,49.0,32916.52
2024-04-21,12.8,3.9,8.2,0.0,0.0,0.0,20.4,38.5,19671.48
2024-04-22,16.5,3.0,9.4,0.0,0.0,0.0,17.1,34.9,44869.83
2024-04-23,19.1,3.8,11.6,0.0,0.0,0.0,21.6,40.7,44522.36
2024-04-24,21.5,10.5,15.5,0.0,0.0,0.0,24.1,45.4,33089.16
2024-04-25,13.7,4.9,9.4,0.0,0.0,0.0,18.1,33.5,37175.33
2024-04-26,17.0,2.5,9.7,0.0,0.0,0.0,18.2,33.1,45792.38
2024-04-27,13.7,3.8,9.6,0.2,0.2,0.0,16.2,31.0,2948.85
2024-04-28,26.8,8.1,17.4,1.0,1.0,0.0,15.0,36.7,44857.0
2024-04-29,30.9,13.9,22.6,0.1,0.1,0.0,12.5,27.4,45467.46
2024-04-30,29.0,16.5,22.2,0.2,0.2,0.0,12.5,40.3,45056.29
2024-05-01,27.5,14.4,20.2,0.1,0.1,0.0,15.3,31.0,45226.38
2024-05-02,30.8,13.2,21.6,0.0,0.0,0.0,23.8,45.4,46904.92
2024-05-03,18.8,9.6,15.0,0.0,0.0,0.0,19.3,38.5,44053.65
