date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration
2024-03-04,21.8,8.8,15.7,0.0,0.0,0.0,17.3,32.4,38641.64
2024-03-05,23.2,7.7,15.9,0.0,0.0,0.0,9.8,20.5,37608.23
2024-03-06,23.1,9.8,16.6,0.0,0.0,0.0,16.9,25.9,34512.75
2024-03-07,17.5,9.6,13.2,5.7,5.7,0.0,18.5,31.3,35440.33
2024-03-08,19.4,8.6,12.9,1.0,1.0,0.0,19.2,33.1,38955.35
2024-03-09,21.9,8.2,14.4,0.0,0.0,0.0,13.7,26.3,39033.88
2024-03-10,25.0,8.9,16.5,0.0,0.0,0.0,20.5,34.9,39112.26
2024-03-11,26.1,10.4,17.4,0.0,0.0,0.0,14.1,22.3,36000.0
2024-03-12,24.6,8.6,17.5,0.0,0.0,0.0,13.9,23.0,39268.14
2024-03-13,24.4,9.2,17.1,0.0,0.0,0.0,26.6,43.6,39345.73
2024-03-14,21.4,8.6,15.4,0.4,0.4,0.0,22.3,35.3,22303.82
2024-03-15,16.6,9.1,12.3,10.5,10.5,0.0,27.8,49.0,32003.23
2024-03-16,17.2,6.5,12.1,0.0,0.0,0.0,12.6,23.8,39583.05
2024-03-17,18.4,8.1,13.0,0.5,0.5,0.0,12.0,23.4,37214.76
2024-03-18,20.3,7.8,13.9,0.0,0.0,0.0,31.9,50.4,39600.0
2024-03-19,22.4,8.4,15.7,0.0,0.0,0.0,15.0,25.2,39600.0
2024-03-20,23.6,8.9,16.2,0.2,0.2,0.0,9.6,20.2,39600.0
2024-03-21,26.6,9.9,18.1,0.0,0.0,0.0,17.3,31.0,39747.38
2024-03-22,28.0,11.2,20.2,0.0,0.0,0.0,10.7,23.0,39744.98
2024-03-23,27.1,12.9,20.0,0.0,0.0,0.0,26.4,42.8,31662.16
2024-03-24,20.0,10.7,14.6,7.0,7.0,0.0,33.5,55.1,32235.37
2024-03-25,20.9,6.8,13.3,0.5,0.5,0.0,24.1,41.0,39826.66
2024-03-26,20.5,9.0,14.2,0.2,0.2,0.0,23.3,40.3,39600.0
2024-03-27,23.5,7.6,15.4,0.0,0.0,0.0,13.4,26.3,40018.54
2024-03-28,27.1,9.4,18.4,0.0,0.0,0.0,12.0,24.5,36985.18
2024-03-29,28.5,11.2,19.9,0.0,0.0,0.0,22.4,38.2,40363.46
2024-03-30,28.1,13.3,21.0,0.0,0.0,0.0,36.0,57.6,40552.5
2024-03-31,18.8,10.6,13.6,11.3,11.3,0.0,20.6,33.5,21774.57
2024-04-01,15.9,9.3,11.8,8.9,8.9,0.0,14.5,26.3,30046.82
2024-04-02,22.2,7.6,14.1,0.0,0.0,0.0,14.8,22.7,40557.82
2024-04-03,25.0,8.9,16.6,0.0,0.0,0.0,9.4,19.1,41082.66
2024-04-04,29.1,9.9,18.6,0.0,0.0,0.0,18.3,29.2,41416.15
2024-04-05,18.5,12.2,15.6,0.0,0.0,0.0,31.6,49.7,21496.18
2024-04-06,18.0,7.4,12.4,0.0,0.0,0.0,24.2,36.4,41674.37
2024-04-07,22.5,5.6,14.4,0.0,0.0,0.0,10.9,19.4,42037.59
2024-04-08,24.0,8.3,16.8,0.0,0.0,0.0,16.6,30.6,38455.29
2024-04-09,28.7,9.4,18.7,0.0,0.0,0.0,22.1,36.0,42565.3
2024-04-10,29.1,9.9,20.7,0.0,0.0,0.0,13.0,25.6,42962.8
2024-04-11,32.6,11.5,23.0,0.0,0.0,0.0,13.4,25.9,43245.15
2024-04-12,33.3,14.4,24.2,0.0,0.0,0.0,26.3,44.3,43459.69
2024-04-13,31.0,14.2,23.3,0.0,0.0,0.0,21.7,36.7,43671.95
2024-04-14,27.2,13.8,20.9,0.0,0.0,0.0,26.2,41.0,43885.99
2024-04-15,24.8,11.6,18.7,0.0,0.0,0.0,19.1,33.8,44017.31
2024-04-16,30.0,11.7,21.1,0.0,0.0,0.0,13.8,27.0,44130.94
2024-04-17,32.7,13.1,24.4,0.0,0.0,0.0,15.2,26.6,44243.55
2024-04-18,33.0,14.0,24.9,0.0,0.0,0.0,14.2,27.4,38529.45
2024-04-19,33.8,14.9,25.6,0.0,0.0,0.0,14.2,25.2,44465.43
2024-04-20,34.0,17.5,26.6,0.0,0.0,0.0,15.5,27.0,44574.5
2024-04-21,35.7,17.4,27.8,0.0,0.0,0.0,13.6,20.2,44682.22
2024-04-22,36.2,17.7,28.5,0.0,0.0,0.0,17.9,28.8,44788.76
2024-04-23,35.0,18.0,27.8,0.0,0.0,0.0,24.6,40.7,44894.82
2024-04-24,33.4,17.1,26.0,0.0,0.0,0.0,21.6,37.4,45000.43
2024-04-25,27.7,16.6,23.0,0.0,0.0,0.0,25.6,43.9,45105.5
2024-04-26,26.2,16.2,22.0,0.1,0.1,0.0,33.7,54.7,45209.95
2024-04-27,27.0,14.5,20.8,0.0,0.0,0.0,32.6,49.7,45313.7
2024-04-28,29.7,14.1,22.9,0.0,0.0,0.0,11.9,25.9,45416.67
2024-04-29,32.2,15.1,25.0,0.0,0.0,0.0,12.7,24.8,45518.78
2024-04-30,34.2,18.0,26.7,0.0,0.0,0.0,14.4,28.4,45619.94
2024-05-01,33.0,17.3,26.1,0.0,0.0,0.0,25.9,38.5,45720.07
2024-05-02,32.8,17.5,26.1,0.0,0.0,0.0,14.7,24.5,45819.08
2024-05-03,33.1,19.2,26.8,0.0,0.0,0.0,18.7,31.3,45916.88
2024-05-04,34.2,19.0,27.1,0.0,0.0,0.0,20.9,34.6,46013.38
2024-05-05,28.8,19.4,24.9,0.0,0.0,0.0,31.9,52.2,46108.5
2024-05-06,29.5,14.8,22.2,0.0,0.0,0.0,19.2,36.7,46194.04
2024-05-07,32.0,14.5,24.4,0.0,0.0,0.0,21.3,36.4,46236.0
2024-05-08,32.2,16.2,25.1,0.0,0.0,0.0,27.1,40.7,46277.71
2024-05-09,30.2,15.0,23.6,0.0,0.0,0.0,21.2,38.2,46319.12
2024-05-10,32.2,15.6,24.9,0.0,0.0,0.0,20.6,35.6,46360.21
2024-05-11,33.8,16.6,26.0,0.0,0.0,0.0,31.6,50.8,46400.95
2024-05-12,33.7,18.3,27.0,0.0,0.0,0.0,16.5,24.5,46441.61
