date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration
2024-03-04,27.9,19.0,22.6,0.6,0.6,0.0,17.9,27.0,30799.43
2024-03-05,30.5,14.6,22.3,0.0,0.0,0.0,15.9,29.5,38757.85
2024-03-06,28.7,14.8,21.3,0.0,0.0,0.0,20.2,34.2,33157.19
2024-03-07,26.2,18.4,21.2,2.9,2.9,0.0,20.5,34.2,5393.96
2024-03-08,28.4,14.6,22.5,1.6,1.6,0.0,38.3,60.1,38402.42
2024-03-09,18.1,8.1,12.8,0.0,0.0,0.0,39.7,63.0,39118.84
2024-03-10,18.4,8.1,14.1,0.0,0.0,0.0,13.6,25.2,29313.55
2024-03-11,22.3,9.7,16.4,0.0,0.0,0.0,15.9,27.0,28524.79
2024-03-12,25.4,12.8,19.0,0.1,0.1,0.0,21.4,38.5,21643.81
2024-03-13,30.2,16.9,22.1,0.2,0.2,0.0,20.3,36.7,26216.37
2024-03-14,28.7,20.1,23.6,1.7,1.7,0.0,24.1,42.5,28897.18
2024-03-15,25.0,19.1,21.8,6.6,6.6,0.0,26.2,46.8,18413.04
2024-03-16,25.4,17.5,20.2,16.1,16.1,0.0,27.3,44.3,9566.63
2024-03-17,21.5,15.4,18.5,19.8,19.8,0.0,20.1,34.6,3905.26
2024-03-18,18.5,13.3,15.4,2.7,2.7,0.0,28.5,46.1,34598.72
2024-03-19,15.1,9.5,12.6,0.0,0.0,0.0,13.0,22.3,10936.86
2024-03-20,18.5,10.8,14.4,0.7,0.7,0.0,13.3,21.2,195.04
2024-03-21,23.5,15.2,18.0,2.3,2.3,0.0,14.4,22.3,16478.06
2024-03-22,27.5,12.8,19.5,0.0,0.0,0.0,27.6,45.4,37214.15
2024-03-23,22.5,12.0,17.6,0.1,0.1,0.0,20.5,35.6,37940.39
2024-03-24,25.4,12.9,18.6,1.0,1.0,0.0,30.8,49.3,11446.67
2024-03-25,24.9,14.0,20.0,8.3,8.3,0.0,29.3,50.0,40823.72
2024-03-26,21.1,11.1,16.1,0.0,0.0,0.0,18.7,31.0,40854.96
2024-03-27,20.5,9.9,14.7,4.7,4.7,0.0,15.3,25.9,33438.62
2024-03-28,24.8,10.4,17.1,0.0,0.0,0.0,24.2,38.9,41093.56
2024-03-29,26.3,14.4,19.7,0.0,0.0,0.0,30.0,51.1,40545.35
2024-03-30,27.4,14.9,20.9,0.0,0.0,0.0,22.2,37.1,29722.19
2024-03-31,28.6,16.5,22.1,0.5,0.5,0.0,19.6,33.1,21148.49
2024-04-01,31.6,20.1,24.6,2.0,2.0,0.0,24.2,51.8,23018.97
2024-04-02,25.1,15.6,20.7,1.5,1.5,0.0,26.4,43.6,41170.84
2024-04-03,25.9,11.1,18.2,0.0,0.0,0.0,17.3,28.8,41758.22
2024-04-04,29.1,11.9,20.7,0.0,0.0,0.0,17.9,34.2,41878.78
2024-04-05,29.3,13.2,21.2,0.0,0.0,0.0,27.5,46.1,42005.06
2024-04-06,28.7,16.6,21.6,0.7,0.7,0.0,29.9,49.0,18601.85
2024-04-07,27.7,18.8,22.4,0.2,0.2,0.0,22.6,40.0,38900.7
2024-04-08,27.6,18.5,22.4,2.7,2.7,0.0,19.7,38.5,14632.48
2024-04-09,29.5,19.0,23.4,9.4,9.4,0.0,28.6,48.6,23663.62
2024-04-10,24.4,14.9,19.2,8.6,8.6,0.0,34.7,60.1,42712.06
2024-04-11,27.5,14.4,20.4,0.0,0.0,0.0,17.3,31.7,42971.89
2024-04-12,26.8,11.8,19.6,0.0,0.0,0.0,20.5,34.9,40536.25
2024-04-13,27.9,15.8,21.4,0.0,0.0,0.0,27.0,44.6,42303.16
2024-04-14,29.0,17.1,22.4,0.1,0.1,0.0,19.9,33.1,29068.08
2024-04-15,31.0,20.5,24.3,0.0,0.0,0.0,29.6,47.5,20856.33
2024-04-16,28.9,21.1,24.4,1.5,1.5,0.0,27.3,43.6,10812.13
2024-04-17,29.6,22.2,25.3,0.6,0.6,0.0,24.2,40.3,11760.15
2024-04-18,31.2,20.6,25.4,0.5,0.5,0.0,21.8,34.9,16385.48
2024-04-19,28.5,20.5,23.8,0.9,0.9,0.0,23.5,40.7,16975.82
2024-04-20,27.8,15.5,22.2,11.5,11.5,0.0,28.5,47.2,22015.73
2024-04-21,21.6,11.8,16.5,2.1,2.1,0.0,27.1,45.7,35650.53
2024-04-22,21.8,12.8,17.1,0.0,0.0,0.0,16.3,29.9,39901.41
2024-04-23,24.5,13.6,19.4,0.2,0.2,0.0,19.8,34.9,11639.98
2024-04-24,28.1,20.7,23.7,1.4,1.4,0.0,22.9,39.6,27215.52
2024-04-25,29.5,20.6,24.3,1.2,1.2,0.0,28.4,47.9,22684.23
2024-04-26,27.4,20.6,23.2,17.2,17.2,0.0,30.5,54.4,23428.88
2024-04-27,29.7,21.5,24.9,2.8,2.8,0.0,32.6,55.4,36000.0
2024-04-28,27.8,19.5,23.6,20.6,20.6,0.0,28.0,46.1,28262.37
2024-04-29,31.0,20.5,25.1,0.5,0.5,0.0,19.3,32.4,42352.64
2024-04-30,30.0,21.8,25.3,0.1,0.1,0.0,21.9,36.7,36623.04
2024-05-01,29.9,20.5,23.2,47.3,47.3,0.0,23.1,43.6,16499.91
2024-05-02,27.6,20.9,23.9,13.9,13.9,0.0,23.3,40.0,16673.53
2024-05-03,25.5,23.0,24.1,2.6,2.6,0.0,22.0,38.2,196.28
2024-05-04,28.8,21.7,24.3,9.2,9.2,0.0,22.8,37.8,16065.19
2024-05-05,26.8,20.5,23.1,13.6,13.6,0.0,24.5,42.8,23845.45
2024-05-06,28.9,22.7,25.4,3.0,3.0,0.0,24.8,42.5,41021.2
