date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration
2024-03-04,7.6,2.2,4.2,0.7,0.7,0.0,24.8,40.7,30202.06
2024-03-05,6.7,-1.2,2.3,0.0,0.0,0.0,14.6,27.7,37212.17
2024-03-06,6.2,-1.2,2.2,0.0,0.0,0.0,8.7,15.1,35868.76
2024-03-07,7.2,-1.4,2.9,0.0,0.0,0.0,7.8,13.7,37640.19
2024-03-08,10.1,2.2,5.3,0.3,0.3,0.0,10.3,18.0,14532.39
2024-03-09,10.4,5.3,7.4,3.2,3.2,0.0,37.0,63.4,15721.04
2024-03-10,8.9,6.4,7.6,10.7,10.7,0.0,28.8,54.4,7591.99
2024-03-11,9.8,5.2,7.2,7.2,7.2,0.0,27.8,46.4,2558.08
2024-03-12,10.2,4.4,7.5,3.0,3.0,0.0,31.7,54.4,33354.86
2024-03-13,10.2,3.1,6.0,0.1,0.1,0.0,15.0,25.2,34954.03
2024-03-14,11.1,0.9,5.5,0.0,0.0,0.0,18.9,33.5,38673.25
2024-03-15,13.1,3.3,7.5,0.0,0.0,0.0,19.7,35.6,35161.53
2024-03-16,17.9,2.9,9.6,0.0,0.0,0.0,11.5,23.8,38891.12
2024-03-17,17.5,5.7,10.7,0.0,0.0,0.0,13.5,22.0,39044.21
2024-03-18,15.6,4.4,9.5,0.0,0.0,0.0,15.1,29.2,36738.42
2024-03-19,16.5,3.5,9.0,0.0,0.0,0.0,16.9,26.6,39111.76
2024-03-20,12.0,6.2,8.7,0.3,0.3,0.0,16.9,28.1,3888.43
2024-03-21,13.6,6.7,9.9,2.1,2.1,0.0,12.8,21.2,34179.38
2024-03-22,12.4,7.1,9.7,3.1,3.1,0.0,12.6,23.0,0.0
2024-03-23,10.8,8.0,9.1,8.5,8.5,0.0,16.3,27.7,852.66
2024-03-24,13.8,6.7,9.6,0.4,0.4,0.0,13.0,22.0,39936.57
2024-03-25,10.6,7.2,8.5,4.1,4.1,0.0,21.8,38.2,23282.95
2024-03-26,12.3,5.9,8.4,7.6,7.6,0.0,15.6,28.1,27736.62
2024-03-27,13.1,6.4,8.5,11.6,11.6,0.0,22.1,42.1,22913.82
2024-03-28,11.1,5.2,7.7,9.8,9.8,0.0,25.2,44.6,26498.58
2024-03-29,13.2,4.6,8.7,0.0,0.0,0.0,21.4,37.8,39026.4
2024-03-30,12.9,5.8,8.8,0.0,0.0,0.0,20.3,33.1,39710.34
2024-03-31,13.4,2.8,8.1,0.0,0.0,0.0,21.3,37.1,42108.35
2024-04-01,16.0,3.8,9.8,0.0,0.0,0.0,12.0,25.2,34600.59
2024-04-02,17.0,7.3,11.4,0.0,0.0,0.0,25.5,42.5,42341.1
